MigVolatge,MigCurrent,TigVolatge,TigCurrent,Encoder,,,
3.106923,3.474099,3.970666,1.369172,0.827724,,,
3.40967,3.537258,4.002551,1.305957,0.827724,,,
4.206373,3.095145,3.81124,1.116313,0.827724,,,
3.817582,3.789894,4.098206,1.27435,0.827724,,,
1.18209,3.663576,4.417058,1.653638,0.827724,,,
1.62187,3.916212,4.321403,1.622031,0.827724,,,
3.537143,5.874141,4.002551,3.423653,0.827724,,,
4.805493,3.726735,4.640255,1.463994,0.827724,,,
4.416702,3.821473,3.87501,1.14792,0.827724,,,
4.684394,3.663576,4.60837,1.495601,0.827724,,,
5.340877,1.674067,4.576484,1.685246,0.827724,,,
5.254833,3.474099,4.863451,1.432387,0.827724,,,
5.583075,3.316201,4.73591,1.495601,0.827724,,,
5.869888,3.758314,3.364847,1.211135,0.827724,,,
7.109557,3.663576,5.118533,0.42095,0.827724,,,
6.395711,3.631996,3.428617,0.673809,0.827724,,,
7.119117,2.210919,3.396732,0.610594,0.827724,,,
7.198788,3.474099,3.332962,0.484165,0.827724,,,
8.626478,3.095145,1.898128,4.498304,1.048774,,,
9.117247,3.221463,3.460502,0.262913,1.048774,,,
9.308456,3.189883,3.428617,0.136483,1.048774,,,
7.590765,3.000406,2.121324,1.400779,1.048774,,,
10.130653,2.77935,3.14165,-0.053161,1.048774,,,
10.172081,2.495134,2.822798,-0.274413,1.048774,,,
3.763406,2.589873,3.428617,-0.147983,1.048774,,,
4.576043,2.463555,2.567717,-0.242806,1.048774,,,
5.774283,2.179339,2.440176,-0.400843,1.048774,,,
10.615048,2.14776,2.599602,-0.369235,1.048774,,,
9.416807,2.14776,2.121324,-0.527272,1.048774,,,
9.917136,1.863544,2.663372,-0.179591,1.048774,,,
10.337795,1.610908,2.567717,-0.211198,1.048774,,,
10.96241,1.737226,2.759028,-0.337628,1.048774,,,
11.500981,1.453011,2.567717,-0.43245,1.048774,,,
12.106475,1.105636,2.695258,-0.590487,1.048774,,,
13.798671,0.663523,2.950339,-1.570316,1.048774,,,
13.091199,0.758262,1.324194,-1.064598,1.048774,,,
15.133944,-0.252282,1.228538,-1.380672,0.943212,,,
15.321966,0.316149,1.037227,-1.475494,0.943212,,,
14.547571,2.274078,4.799681,-1.949605,0.943212,,,
15.057461,0.189831,0.782146,-2.107642,0.943212,,,
16.762404,-0.189123,0.782146,-1.665139,0.943212,,,
16.032625,-0.3786,2.28075,-1.854783,0.943212,,,
16.013504,1.958283,0.718375,-1.696746,0.943212,,,
17.049217,-0.631236,0.495179,-1.823176,0.943212,,,
10.178455,-0.852293,3.01411,-1.88639,0.943212,,,
11.083509,-0.978611,0.68649,-1.823176,0.943212,,,
13.935704,-1.104929,0.654605,-1.728353,0.943212,,,
16.838888,-1.199667,0.68649,-1.601924,0.943212,,,
15.739438,-1.04177,0.845916,-1.443887,0.943212,,,
15.044714,-1.452303,0.558949,-1.665139,0.943212,,,
15.290098,-1.862837,0.431408,-1.791568,0.943212,,,
15.067021,-1.483883,0.431408,-1.475494,0.943212,,,
15.490867,-1.736519,0.590834,-1.696746,0.943212,,,
15.930647,-1.862837,0.590834,-1.633531,0.943212,,,
18.180535,-1.67336,0.782146,-1.254242,0.943212,,,
17.992513,-1.831257,1.069112,-1.096205,0.950058,,,
19.544489,-2.052314,1.196653,-1.191028,0.950058,,,
21.019982,-2.115473,1.069112,-1.127813,0.950058,,,
21.485257,-1.989155,1.356079,-1.096205,0.950058,,,
